NO,ctg,syl,Barisal,ben,eng
54,মিয়া,দুলাভাই,বোনাই,দুলাভাই,Brother in law
55,লাইজ্ঞুন,লাগলেন,লাগজেন ,লাগলেন,Got (became)
56,ফাডি,ফাটি,ফাইট্টা,ফেটে,Burst
57,গলে,উনাই,গোইল্লা ,গলে,Melt
58,আটকে,আটখাইয়া,আটকাইয়া,আটকে,Stuck
59,রাশাই,রাজশাহী,রাজশাহী,রাজশাহী,Rajshahi
60,মানি,মানিয়া,মাইন্না ,মেনে,Accepted
61,মানা,মানা, মানা ,মানা,Denied
62,চারিমিক্কে,চাইরদিকে,চাইরোদিগে,চারিদিকে,Around
63,বেদরহারে,বেদরকারে ,হুদাই,অদরকারে,Unnecessarily
64,মিক্কে,দিকে,দিগে ,দিকে,Direction
65,লগে,লগে ,লগে,সাথে,With
66,অর্জন,ফাওয়া,অর্জন,অর্জন,Achievement
67,বাঁধি,বান্দিয়া ,বাইন্ধা,বেধে,Tied
68,বাটপারি,বাটপারি,বাটপারি,বাটপারি,Fraud
69,হাট্টা,টেংগা,চুক্কা,টক,Sour
70,মন,মন,মোন ,মন,Mind
71,বেয়াদবি,বেয়াদবি,বেয়াদবি,বেয়াদবি,Rudeness
72,ছাড়ি,ছাড়িয়া ,ছাইররা ,ছেড়ে,Left
73,ইস্তের,ইফতার,রোজা খোলা,ইফতার,Iftar
74,ইস্তেরি,ইফতারি ,ইফতারি,ইফতারি,Iftari
75,গরিবের,করার,হরার ,করার,To do
76,হান,কান,কান ,কান,Ear
77,হাড়া,উচা,উচা ,উঁচু,High
78,যেত্তে,যখন,যহন ,যখন,When
79,আচা,হাছা,হাচা ,সত্য,Truth
80,জবাই,জবো,জবই,জবাই,Slaughter
81,ফেলাইয়্যুম,ফেলমু,হালামু,ফেলবো,Will fall
82,হাইলে,খাইলে,খ্যালে ,খেলে,Played
83,বাড়িত,বাড়িত,বাড়িতে,বাড়িতে,At home
84,হুনিলে,হুনলে ,হোনলে ,শুনলে,If heard
85,যেন,যেন,য্যানো ,যেন,As if
86,হ,বল,বল,বল,Say
87,ঘামাইবার,ঘামানির,ঘামানোর,ঘামানোর,Sweating
88,এগিন,ইতা,এইগুলা,এসব,These
89,ভরা,ফুরা,ভরা,ভরা,Full
90,আইস্যু,আইয়ো,আইতে পারো,এসো,Come
91,মেঘ,বৃষ্টি,ম্যাগ,মেঘ,Cloud
92,খোপাত,বেনিত,বেনী,খোপায়,In the hole
93,ফরিবু,পড়বায়,পড়ছে,পড়বে,Will fall
94,কদম,কদম,কদম,কদম,Kadam
95,রান্দো,উন্দাল,ওষ্যাঘর,রান্নাঘর,Kitchen
96,রান্দা,রান্দা,রান্ধা ,রান্না,Cooking
97,গর,কর,করিস,কর,Do
98,দ,দিলাও,দে,দাও,Give
99,ঠিক,হাছা,হাচা ,ঠিক,Right
100,ব্যাংকওত,ব্যাংকে,ব্যাংকে,ব্যাংকে,At the bank
101,ফিছে,পিছে,পিছে ,পিছনে,Behind
102,বুঝস,বুইছো,বোজ্জ,বুঝিস,Understand
103,ফন্দে,পিছ,পিছ,পিছন,Back
104,ছাড়া,ছাড়া,খুইল্লা ,ছাড়া,Without
105,মথামথ,মত,সিদ্ধান্ত ,মতামত,Opinion
106,হুদার,খোদার,খোদার,খোদার,God's
107,সিদা,সোজা,সোজা ,সোজা,Straight
108,ঢুকের,হামায়,ঢোহে,ঢোকে,Goes in
109,হুনাইল,হুনাইলে,হুনাইলে,শুনালে,If heard
110,হারি,কাড়িয়া,কাইড়া,কেড়ে,Took
111,হচম,কিরা,কছোম,কসম,Swear
112,অইলদে,হইছে ,হইতেআছে,হচ্ছে,Becoming
113,এব্বেরে,একবারে,একফিরে,একবারে,At once
114,লুইচ্চা,খবিশ,লুচ্ছা,লুচ্চা,Naughty
115,দওন,দেওয়া ,দেওয়া .,দেয়া,Given
116,খিয়াল,খিয়াল ,খিয়াল ,খেয়াল,Attention
117,পাকায়,ফাখাইয়া,পাহাইআ,পাকিয়ে,Ripened
118,রইয়্যে,রইছে ,রইছে,রয়েছে,Remains
119,বরই,বরই,একছের,বরই,Baor
120,ফুইটফুইট্টা,ফুটফুটে ,ফুডফুডে,ফুটফুটে,Lively
121,ফ্রিন্টর,ছাফার,ছাপার,প্রিন্টের,Printed
122,খামিস,কামিজ,কামিজ,কামিজ,Kameez
123,মুলিছাফ,মুল্লা,মাউলানা,মাউলানা,Maulana
124,উৎসব,ফারবন,উৎসব,উৎসব,Festival
125,উপকার,বালা খরা,উপকার,উপকার,Benefit
126,উপায়,উফকার,উপায়,উপায়,Way
127,বাঁচাইবে,বাছাইবো,বাচাইবে,বাঁচাবে,Will save
128,ঘাডাঘাডি,তুকাথুকি,ঘাডাঘাডি,ঘাটাঘাটি,Searching
129,বানাইয়্যুস,বানাইছোস,বানাইছো,বানিয়েছিস,Made
130,যারা,যারা,য্যারা,যারা,Who
131,ডাক,ডাখ,বোলা,ডাক,Call
132,দেয়ালর,ওয়াল'র,দেওয়ালের,দেয়ালের,Wall’s
133,মালিকরে,মালিকরে,মালিকরে,মালিককে,Owner
134,বাঁচিত,বাঁচাইতে ,বাচাইতে,বাঁচতে,To live
135,ডাহাডাহি,ডাখাডাখি,বোলাবুলি,ডাকাডাকি,Calling
136,দে,দেইন,দ্যায়,দেয়,Gives
137,শেষর,ছেষের,শ্যাষের,শেষের,Last
138,বাইন্দুম,বানদিমু,বানমু,বাধবো,Will bind
139,ফাঠাতে,পাটানি,পাডাইতে.,পাঠাতে,To send
140,তিরাইষ্যাত,পিয়াসয়,তিষায়,তৃষ্ণায়,Thirsty
141,তিরাইষ্যা,পিয়াস,তিষা,তৃষ্ণা,Thirst
142,বানাইলে,তৈয়ার খরলে,বানাইলে,বানালে,Made
143,হাডি,খাটিয়া,কাইট্টা,কেটে,Cut
144,পলের,ফাগলের,বলদর,পাগলের,Mad
145,লাজে,সরমে,সরমে,লজ্জায়,In shame
146,বেহাইয়্যার,বেহায়া,বেহায়া,বেহায়ার,Shameless
147,হুশবত,সুগন্ধে,ঘ্রান,সুগন্ধে,In fragrance
148,বাঁচায়,বাছায়,বাছায়,বাঁচায়,Saves
149,বাইট্টে,বাটা,বাডা,বাটা,Bata
150,পইত্তে,পতা,ব্যাইন্নাহালে,ভোরে,In the morning
151,শেষে,ছেষে,শ‌্যাষে,শেষে,Last
152,ফিঁয়ারা,ফিকরা,পিড়হা,পিঁপড়া,Ant
153,ডাহি,ডাকিয়া ,বোলাইয়া,ডেকে,Called
154,মো,মামা ,মামু,মামা ,Uncle
155,ব,বাবা,বাফে,বাবা,Father
156,বদ্দা ,বর বাই,বড় ভাই,বড় ভাই,Older brother
157,ব্যু,বইন,বুইন,বোন,Sister
158,আছন,আছইন,রইছে,আছেন,Are
159,যর,যাওগি,যাও,যাও,Go
160,বাড়ি,বাড়ি,বাত্তে,বাড়ি,Home
161,আছ,আছইননি,আছো,আছো,Are
162,হন্ডে,কোনানো,কোম্মে,কোথায়,Where
163,তোঁয়ারো,আফনার,আম্মেগো,আপনাদের,Yours
164,লাই,তোমার,তোর,তোমার,Your
165,ফেড,বুজতে ফারা,অনুভব,অনুভব,Feeling
166,ফুরের,কররাম,হরছি,করছি,I feel
167,ফর,পড়ো,পড়,পড়,Read
168,ফঅর,ফর্,আলো,আলো,Light
169,হানা,আনদাইর,আনধার,অন্ধ,Blind
170,হাঁনা,খানি ,খাওন,খাবার,Food
171,ব্যভার,ছাল-ছলন,ব্যবহার,ব্যবহার,Use
172,হাসিয়ুত,অইব্বাস,অভ্যাস,অভ্যাস,Habit
173,নঅ,নি,নি,নি,No
174,স্কুলত,স্কুলো,স্কুলে,স্কুলে,At school
175,যাই,যাইরাম,যাই,যাই,Go
176,যাইয়্যুম,যাইমু,যামু,যাবো,Will go
177,গেলদে,গত খাইল,গতকাইল,গতকাল,Yesterday
178,অলইদ,ওল্দি,হইলদা ,হলুদ,Yellow
179,ভাত,ভাত,ভাত,ভাত,Rice
180,হাআই,খাইলাইছি,খাইছি ,খাইছি,Ate
181,ইতি,সে,ও,সে,He
182,টিভি,টিভি,টিভি ,টিভি,Watching TV
183,সাআর,দেখের,দ্যাহে ,দেখছে,He
184,ইতে,সে,ও,সে,Riding a bicycle
185,সাইকেলত,সাইকেলো,সাইকেল ,সাইকেলে,Playing
186,সরের,চড়ের,বইছে ,চড়ছে,Game
187,হাঁর,খেলছে ,খ্যালতাছে ,খেলছে,They
188,খেলা,খেলা,খেলা ,খেলা,Lemon
189,ইতারা,যুগ,হ্যারা,তারা,Goat
190,হঁজি,লেম্বু,লেম্বু ,লেবু,Chicken
191,চঅল,বখরি,ছাগল ,ছাগল,Rooster
192,কুঁরি কুরা,মুরগি,মুরা ,মুরগি,Behavior
193,রাতা কুরা,মুরোগ ,মোরগ,মোরগ,Me
194,হাসলত,হাবভাব ,ভাবসাব ,চালচলন,Money
195,আঁট্টা,মই,চঙ্গা,মই,Bridge
196,টিঁয়া,বা,টেহা ,টাকা,Money
197,অঁ,সাঁকো,চার ,সাঁকো,Bridge
198,বেইন্না,বিয়ান,বেইন্না হাল ,সকাল,Morning
199,আজুইন্না,হাইঞ্জাবালা,সন্ধ্যা,সন্ধ্যা,Evening
200,গম,ভালা,ভাল ,ভাল,Good
201,চঁরি,ছাখরি,চাকরি ,চাকরি,Job
202,টাডাল,ঠাডা,ঠাডা ,বজ্রপাত,Thunder
203,তিয়্যন,উবাও ,ওডেন,দাড়াঁন,Stand
204,দইন,দক্ষিণ,দহিন,দক্ষিণ,South
205,হইজ্জে,মাইর ,পিডাপিডি,ঝগড়া,Argument
206,গরুর গোতাইল,গরুঘর ,গরুর হাতাল ,গোয়ালঘর,Cow shed
207,কুরার আরাইল,মুরগিরঘর,মুরগির খোয়ার,মুরগিরঘর,Chicken coop
208,বওসহানা,উন্দাল,ওষ্যা গর,পাকঘর,Kitchen
209,টাট্টি,লেফন্টি,ল্যাটিন ,পায়খানা,Toilet
210,ফঅল,ফাগল,বলদ ,পাগল,Mad
211,আতি,আত্তি,হাতি ,হাতি,Elephant
212,মসইদ,মছিদ,মরজিদ ,মসজিদ,Mosque
213,টিঁয়ারা,আবর,ব্যাড়া ,বেড়া,Fence
214,বেরেলা,ধেড়েশ,ঢ্যাড়স ,ঢেঁড়স,Okra
215,আস্সান,আকাশ,আকাশ ,আসমান,Sky
216,মেওলা,বৃষ্টি,ম্যাঘ ,মেঘ,Cloud
217,আঁসুর,হাতার ,হাতর,সাঁতার,Swimming
218,চান্নি,ভর্তা,বানানি,ভর্তা,Mashed
219,তরুনজা,মাতু,ছোলোম,জাম্বুরা,Grapefruit
220,আইদ্দে হালিয়া,খাইলকু,কাইলগো,আগামি কাল,Tomorrow
221,তুই,তুই,তুই,তুই,You (informal)
222,অনে,আফনে,আম্মে,আপনি,You (formal)
223,আসল,হাছারকুর,আসল,আসল,Real
224,বেরাইজ্জে,বেখায়দা,অভদ্র,অভদ্র,Rude
225,হলম,কলম,কলম,কলম,Pen
226,গিঁও,গম,গোম,গম,Wheat
227,চইল,চাউল ,চাউল ,চাল,Rice
228,ফোয়াসা,পুয়াফুড়িন ,মাইয়াপোলা,ছেলেমেয়ে,Boys and girls
229,হানাফিনা,খানি দানি ,খাওনদাওন ,খাওয়াদাওয়া,Food
230,জোনাফ্‌‍ফর,জুস্না,জোছ্না,জ্যোৎস্না,Moonlight
231,বিশিদবার,বিষুদবার ,বিসসৈতবার,বৃহস্পতিবার,Thursday
232,শুক্কুর বার,শুক্কুরবার,শুক্কুরবার,শুক্রবার,Friday
233,বদ্দা,ভাই,ভাই,ভাই,Brother
234,গম নয়,ফেরত,খারাপ,খারাপ,Bad
235,দুক,বেদনা,ব্যাতা,ব্যাথা,Pain
236,হাট্টল,কাঠল,কাডাল,কাঠাল,Jackfruit
237,হঁলা,খমলা,কোমলা,কমলা,Orange
238,আজিয়া,আজকো ,আইজগো,আজকে,Today
239,হালিয়া,কালকো,কাইলগো,কালকে,Tomorrow
240,আরেক্কানা,আরো থুরা,আরেটটু,আরেকটু,A little more
241,বইশাক,বৈশাখ,বৈশাগ,বৈশাখ,Boishakh (Bengali month)
242,জেঢ,জেট,জৈষ্ট,জৈষ্ঠ ,Joishtho (Bengali month)
243,আশার,আড়,আষাঢ়,আষাঢ়,Asharh (Bengali month)
244,শঅন,শ্রাবণ,শ্রাবণ,শ্রাবন,Shravan (Bengali month)
245,ভাদঅ,ভাদো,ভাদ্র,ভাদ্র,Bhadro (Bengali month)
246,আশিন,আশ্বিন,আশ্বিন ,আশ্বিন,Ashwin (Bengali month)
247,অঁন,অগ্রহায়ণ,অগ্রাহায়ন ,অগ্রহায়ণ,Agrahayan (Bengali month)
248,ফোশ,ফুষ,পৌষ,পৌষ,Poush (Bengali month)
249,মাগ,মাঘ,মাঘ,মাঘ,Magh (Bengali month)
250,ফঅওন,ফাল্গুন,ফাল্গুন ,ফাল্গুন,Falgun (Bengali month)
251,চইত,ছৈত,চৈত্তির,চৈত্র,Chaitra (Bengali month)
252,দিন,দিন,দিন,দিন,Day
253,লাস্তা ,রাস্তা,পোথ,রাস্তা,Road
254,গাডা ,ঘাট ,ঘাড,ঘাট ,Ghat (riverbank)
255,ফানখা ,ফ্যান ,ফ্যান,ফ্যান ,Fan
256,নাইরকুল ,নাইকল,নাহৈল,নারিকেল,Coconut
257,হথা,মাত,কতা,কথা,Word
258,ফ্রুওও ,ফরু ,পরশু,পরশু,Day before yesterday
259,আজিয়ে,আজকো,আইজগো,আজকে,Today
260,হালিয়ে,কালকু,কাইলগো,কালকে,Tomorrow
261,ইতে,অইলো,হ্যাই,সেই,That
262,ইবে ,অইলো,হ্যাই,সেই,That
263,হস,খাগজ,কাগোজ,কাগজ,Paper
264,হলম,কলম,কলম,কলম,Pen
265,টাট্রি,বাথরুম,বাথরুম,বাথরুম,Bathroom
266,দৈজে্য,গাং ,গা্ঙ,নদী,River
267,হাট্রল ,খাটল ,কাডাল,কাঠাল,Jackfruit
268,এলাহা ,গাউ,এলাকা,এলাকা,Area
269,আহল ,আখল,আক্কেল,আক্কেল,Cleverness
270,হবর ,গুরুস্থান,কবর,কবর,Grave
271,হালি ,শুধু,হুদা,খালি,Empty
272,বাইক্কে ,বাকী ,বাহি,বাকী ,Rest
273,আবাস ,আওয়াজ*,ম্যাতান,আওয়াজ,Sound
274,আনা ,আয়না,আয়না,আয়না,Mirror
275,চরী ,চাকরি,চাহুরি,চাকুরী,Job
276,জাগা,জাগা,জাগা,জায়গা,Place
277,দুয়ান,দোকান,দোহান,দোকান,Shop
278,লেচু ,লেচু ,লেচু,লিচু ,Lychee
279,পেরাক ,লুয়া,লোআ,পেরেক,Nail
280,ফিতে,ফিতা,ফিতা,ফিতা,Tape
281,বুতম,গোতাম,বুদাম,বোতাম,Button
282,সন ,সাবন,সাবান,সাবান,Soap
283,কুয়ে,কয়ফল ,কোম্বা,পেঁপে,Papaya
284,সিনা ,বুক,বুখ,বুক,Chest
285,ভিতর,ভিতর,ভিতরে ,ভিতর,Inside
286,দিলি ,দিছইন ,দিলি,দিলা,Gave
287,হন হারনে ,ওউ ,এডা,এই,This
288,হারনে,অতার লাগি,ফাইন্নে,কারনে,For this reason
289,এইতুন ,ওখান ,এহাইনদা,এইখান,Here
290,যাইতামগো,যাইতে ,যাইতে,যেতে,To go
291,গড়ে,কাম,কাম,কাজ,Work
292,সরি ,চাকরি,চাহুরী,চাকরি,Job
293,বেইন্নে ,বিয়ানবালা,ব্যাইন্নাহালে ,সকালবেলা,Morning
294,হাজুইন্নে ,হাইঞ্জাবালা,হাজ,সন্ধ্যা,Evening
295,হইদি,কইছি ,কইছি,বলছি,Saying
296,হম,থোরা,কোম,কম,Less
297,খাট্টা বায়ুন,টমেটু,টমেটু,টমেটো,Tomato
298,সুর্গ ,শিরা,মৌ,ঝোল,Gravy
299,সানসে,মানষে,মানষে,মানুষে,People
300,ইচে,ইছা,চিঙ্গৈর,চিংড়ি,Shrimp
301,ওনির,হুকইনর,হূটকির,শুটকির,Dried fish
302,গোয়াচি ,শফরি ,গইয়া,পেয়ারা,Guava
303,দিউম,দিমু,দিমু,দিব,Will give
304,দেখুদে,দেখছত,দ্যাখছো,দেখেছ,Have seen
305,একমাত্র,একমাত্র,হুদা,একমাত্র,Only
306,হাসিবে ,হাসবায়,হাসপি,হাসবে,Will laugh
307,খাইয়ুম ,খাইমু,খামু,খাব,Will eat
308,যাইয়ুম,যাইমু,যামু,যাইব,Will go
309,আরার, আমরার,মোগো,আমাদের,Our
310,যাইবেনা,যাইবো,যাইবে,যাবে,Will go
311,নায়িকা,নাইকা,নাইকা,নায়িকা,Heroine
312,কন,কিগুইম,ক্যারা,কারা ,Who
313,অনর ,আফনার,আম্মের,আপনার,Your
314,আয়ু,আও,আয়,আস,Come
315,সাম্মে ,সামনে,সাম্মে,সামনে,In front
316,পিছে,পিছে,পিছে,পিছনে,Behind
317,উরে ,উপরে,উফরে,উপরে,Above
318,লাই,জন্য ,ফাইন্নে,জন্য ,For
319,বিয়াগ্গুন,হক্কল,হগলে,সবাই,Everyone
320,আত ,হাত,হাত,হাত,Hand
321,টেং ,টেং ,পাও,পা,Leg
322,হান ,কান ,কান,কান ,Ear
323,গাল ,ফাখা,মুখ,মুখ,Mouth
324,ফজরত ,ফজর,ফজর,ফজর,Fajr (morning prayer)
325,দুইজ্জে,দুপুর,দুহার,দুপুর,Noon
326,মহৈরবত্তত ,মাগরিব,মাগরিব ,মাগরিব,Maghrib (evening prayer)
327,তরহারি ,তরকারি,সালুন,তরকারি,Curry
328,ফোয়াদ,মজা,মজা,মজা,Tasty
329,মনা ,ময়না,ময়না,ময়না,Myna (bird)
330,বিলেই ,মেকুর,বিলই,বিড়াল,Cat
331,ইয়েল,হিয়াল,শিয়াল,শিয়াল,Fox
332,আফেল,আপেল,আপেল,আপেল,Apple
333,আনকুর,আঙ্গুর ,আঙ্গুর ,আঙ্গুর ,Grapes
334,মিডে ,মিটা,মিডা,মিষ্টি,Sweet
335,পরা,ফড়া,পড়া,পড়া,Study
336,কমপ্লিট,কমপিলিট,কমপ্লিট ,কমপ্লিট,Complete
337,অয় ই না,হইছে ,হইছে,হয়েছে,Has been
338,আজি,আজকো,আইজগো,আজকে,Today
339,স্কুলত ,স্কুলো,স্কুলে,স্কুলে,At school
340,আইন্নুম,আনতাম,আনমু,আনব,Will bring
341,আম্মারে ,আম্মাকে,আম্মারে,আম্মাকে,To mom
342,পুচর,জিগানি,জিগানো,জিজ্ঞাসা,Ask
343,গর,খর,হর,কর ,Do
344,হাই ,খাই,খামু,খাই,Eat
345,খেলি,খেলি,খেলি,খেলি,Play
346,ফড়ি,পড়রাম,পড়ি,পড়ি ,Study
347,ফৈরজুম,পড়মু,পড়মু,পড়বো,Will study
348,হবর,খবর,খবর,খবর,News
349,খেলা,খেলা,খেলা,খেলা,Game
350,হাই,কররাম,হরি,করি,Do
351,পরোদে,পড় ,পড়,পড় ,Read
352,হন,কোন,কোন,কোন,Which
353,চাঁদপুরত,চাঁদপুর,চাঁদপুর,চাঁদপুর,Chandpur
354,যাইবে,যাও,যাও,যাও,Go
355,রিক্সাত,রিক্সা,রিক্সা,রিক্সা,Rickshaw
356,গরে ,করে,হরে,করে,By
357,আইসসুম,আইমু,আমু,আসবো,Will come
358,আরিফ,আরিফ,আরিফ্যা,আরিফ,Arif
359,বয়স,বয়স,বয়স,বয়স,Age
360,হতো,কত,কতো,কত,How much
361,গরো ,খর ,হর,কর,Do
362,হালিয়ে,কাল,ক্যাইল,কাল,Tomorrow
363,বারিশা হাল,বর্ষাকাল,বর্ষাকাল,বর্ষাকাল,Monsoon
364,হালিয়ে,কালকো,কাইলগো,কালকে,Tomorrow (again)
365,কুঁইর,কুত্তা,কুত্তা ,কুকুর,Dog
366,হাউও,কাক,কাউয়া,কাক,Crow
367,গরা,খলস ,কলসি,কলসি,Pitcher
368,হইতর,পারো,কবুতর,কবুতর,Pigeon
369,গুড়ি,বেড়ানিত ,বেড়াইতে,বেড়াতে,To visit
370,আই,গেছি,গেলাম,যাই ,Go
371,সলো,ছল ,ল,চল,Let’s go
372,যো ,যাও,যাও,যাও,Go
373,হার ,কার,কের,কার ,Whose
374,লগে ,লগে,লগে ,সাথে,With
375,অসুখ,বেমার,অসুস্থ,অসুস্থ,Sick
376,ফরে,বাদে ,ফরে,পরে,Later
377,নয়া,নয়া,নুতান,নতুন,New
378,উন্নিশে,বাইত ,বমি,বমি ,Vomit
379,হঅন,খানি ,খাওয়া,খাওয়া,Eating
380,উ ,এখটা,এ্যাকটা,একটি,One
381,ইক্কা ,ওখানো,এহানে,এখানে,Here
382,গোসসা,ঘুষা,রাগ,রাগ,Anger
383,গইজ্জি,করছি,হরছি,করেছি,Have done
384,হামাক্কা ,অবশ্যই,অবশ্যই,অবশ্যই,Definitely
385,খস,খাগজ,কাগজ,কাগজ,Paper
386,আফ,সাপ,হাপ,সাপ,Snake
387,রুফা ,রূফা ,রূপা,রূপা,Silver
388,সরফ,চরবি ,চর্বি,চর্বি,Fat
389,বেজ্ঞিন,সবতা,সপটায়,সবগুলো,All
390,শ৴ন,শ্রাবণ ,শ্রাবন,শ্রাবণ,Shravan (month)
391,সঁই,উরি,শিম,শিম,Bean
392,লফযো,শব্দ,শব্দ,শব্দ,Sound
393,ল্যাঞ্জা,লেংগুর ,ল্যাঞ্জা,লেজ,Tail
394,যেঁত্তে,যখন,যহন,যখন,When
395,মেইফুয়া,বেটি,মাতারি,মহিলা,Woman
396,ফোঁয়াইত্তা,সহাল,বেইন্নাকাল,ভোর,Dawn
397,বিঁডা,বিটা ,ভিডা,ভিটা,Homestead
398,ডর,ভয়,ডর,ভয়,Fear
399,যর,বৃষ্টি,বিষ্টি ,বৃষ্টি,Rain
400,বাআর,বাইর,বাইর,বাহির,Outside
401,গিরস্ত,বাড়িয়ালা ,বাড়িয়ালা,বাড়িওয়ালা,Landlord
402,বইডাত,বাসাত,বওয়ায়,বসায়,Settled
403,ফঅন,ফাগুন,ফাল্গুন,ফাগুন,Phagun (month)
404,ফুসর,্পুছা,প্রশ্ন,প্রশ্ন,Question
405,ৱারম্বত্তি,শিয়ানা,প্রাপ্তবয়স্ক,প্রাপ্তবয়স্ক,Adult
406,আদইজ্জা,প্রিয়,প্রিয়,প্রিয়,Dear
407,বাইক্কা,হুদাও ,ফাও,ফালতু,Useless
408,ফিঙ্গে,ঠাডা,ঠাডা,বজ্রপাত,Thunderstorm
409,ডঅর,বড়,বড়,বড়,Big
410,বাঁদর,বান্দর ,বান্দর,বাঁদর,Monkey
411,হালুর,খালুর,খালুর,খালুর,Uncle (maternal)
412,হালুর,খালু,খালু,খালু,Uncle
413,শিকারী,ষিখারী ,শিকারী ,শিকারী,Hunter
414,শিকারীর,শিখারীর ,শিকারীর ,শিকারীর,Hunter’s
415,লইয়্যে,লইয়া ,লইয়া,নিয়ে,With
416,শিকার,ষিখারী ,শিকার,শিকার,Hunting
417,সুখত,সুখে ,সুখে,সুখে,Happily
418,জইক্কা,জোড় ,জোড়া/জমজ,জোড়া/জমজ,Pair/Twin
419,ব্যবসায়ী,কারবারি ,ব্যবসায়ী,ব্যবসায়ী,Businessman
420,ডঁর,বড়,বড়ো,বড়,Big (again)
421,হাইস,খাইও ,খাইয়ো,খেয়ো,Eat
422,বরফের,বরফোর ,বরফোর ,বরফের,Ice
423,বুড়ি,বুরি ,বুড়ি,বুড়ি,Old lady
424,টিপ,ফুটা ,টিপ,টিপ,Bindi (forehead decoration)
425,লাডি,লাডি,লাডি,লাঠি,Stick
426,বিয়াদপ,বেয়াদপ,টিপ,বেয়াদপ,Rude
427,চিবি,টিফাইয়া ,টিপ্পা,টিপে,Press
428,যুগর,জুগওর ,যুগের,যুগের,Era
429,ফেলাইতাম,ফালাইতাম ,হালাইতাম,ফেলতাম,Used to throw
430,অইত্যু,ঐতও ,হত.,হত.,Was
431,অইত,হইতে,হইতে,হতে,To be
432,গুঁড়া,এট্টুন,ছোডো,ছোট্ট,Tiny
433,হাইল্ল্যা,খালি ,খালি,খালি,Empty
434,উদ্দেশ্য,মতলব ,উদ্দিশ্য,উদ্দেশ্য,Purpose
435,ছোড,ছোট,ছোডো,ছোট,Small
436,মগজত,ঘিলুত ,মগজে,মগজে,Brain
437,আঙুল,অঙ্গুইল,আঙ্গুল ,আঙুল,Finger
438,ফানের,ফানো'র ,পানের,পানের,Betel leaf’s
439,ফান,ফান ,পান,পান,Betel
